Ecosystem services,Ecosystem components,Rating,Ecosystem types,Link_assessment,Link assessment,Justification
Other provisioning services - Animal-based energy,Species,R,Pelagic ocean waters and Deep Sea floors,0,N,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,Anthropogenic marine systems,0,N,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,Marine shelfs,0,N,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,0,N,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Other provisioning services - Animal-based energy,Species,R,Brackish tidal systems ,0,N,"Species, in the form of working animals, directly provide the animal-based energy service. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision."
Biomass provisioning,Structural and Biotic Integrity,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,Desert and Semi-deserts ,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,Polar-Alpine ,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,P,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,Palustrine Wetlands ,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,Semi-confined transitional waters,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,Pelagic ocean waters and Deep Sea floors,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,Anthropogenic marine systems,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,Marine shelfs,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Structural and Biotic Integrity,A,Brackish tidal systems ,1,Y,"Structural and biotic integrity of the ecosystem supports ecosystem functioning required for biomass provision. As such, biomass resources are sensitive to changes in structural and biotic integrity of the ecosystem, however these changes may be reversed if integrity is restored."
Biomass provisioning,Species,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,Desert and Semi-deserts ,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,Polar-Alpine ,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,Intensive Land Use Systems - Urban and Developed Area,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,P,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,Palustrine Wetlands ,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,Semi-confined transitional waters,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,Pelagic ocean waters and Deep Sea floors,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,Anthropogenic marine systems,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,Marine shelfs,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Biomass provisioning,Species,R,Brackish tidal systems ,1,Y,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Solid waste remediation,Structural and Biotic Integrity,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,Desert and Semi-deserts ,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,Polar-Alpine ,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,P,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,Palustrine Wetlands ,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,Semi-confined transitional waters,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,Pelagic ocean waters and Deep Sea floors,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,Anthropogenic marine systems,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,Marine shelfs,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Structural and Biotic Integrity,A,Brackish tidal systems ,1,Y,Bio-remediation by plants is sensitive to changes in Structural and biotic integrity of the ecosystems as this would affect species distributions and abundance. These changes may however be reversed if the Structural and biotic integrity of the ecosystem is restored.
Solid waste remediation,Species,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,Desert and Semi-deserts ,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,Polar-Alpine ,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,Intensive Land Use Systems - Urban and Developed Area,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,P,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,Palustrine Wetlands ,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,Semi-confined transitional waters,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,Pelagic ocean waters and Deep Sea floors,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,Anthropogenic marine systems,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,Marine shelfs,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Solid waste remediation,Species,R,Brackish tidal systems ,1,Y,Bio-remediation by plants is highly sensitive to changes in their distribution and abundance.
Soil and sediment retention,Structural and Biotic Integrity,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,Desert and Semi-deserts ,1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,Polar-Alpine ,1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,Palustrine Wetlands ,1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,Semi-confined transitional waters,1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,Pelagic ocean waters and Deep Sea floors,0,N,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,Anthropogenic marine systems,1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,Marine shelfs,1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Structural and Biotic Integrity,A,Brackish tidal systems ,1,Y,Structural and biotic integrity of the ecosystem is key to the provision of buffering and attenuation of mass flows and loss of integrity may cause reduction or cessation of the service.
Soil and sediment retention,Land geomorphology,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,Desert and Semi-deserts ,1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,Polar-Alpine ,1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,Palustrine Wetlands ,1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,Semi-confined transitional waters,1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,Pelagic ocean waters and Deep Sea floors,0,N,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,Anthropogenic marine systems,1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,Marine shelfs,0,N,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Land geomorphology,A,Brackish tidal systems ,1,Y,"Buffering and attenuation of mass flows is highly sensitive to changes land geomorphology, which can cause cessation of service. Changes to land geomorphology are nearly always irreversible, affecting buffering and attenuation of mass flows in the long term."
Soil and sediment retention,Ocean geomorphology,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,0,N,Buffering and attenuation of mass flows is highly sensitive to coastal and ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",0,N,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,Desert and Semi-deserts ,0,N,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,Polar-Alpine ,0,N,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,Intensive Land Use Systems - Agriculture and Croplands ,0,N,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,Intensive Land Use Systems - Urban and Developed Area,0,N,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,Palustrine Wetlands ,0,N,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,"Artificial Freshwaters, Lakes, Rivers and streams ",0,N,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,Semi-confined transitional waters,1,Y,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,Pelagic ocean waters and Deep Sea floors,1,Y,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,Anthropogenic marine systems,1,Y,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,Marine shelfs,1,Y,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Ocean geomorphology,A,Brackish tidal systems ,1,Y,Buffering and attenuation of mass flows is highly sensitive to ocean geomorphology through characteristics such as slope and features such as deep sea valleys and mountains
Soil and sediment retention,Soils and sediments,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,Desert and Semi-deserts ,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,Polar-Alpine ,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
