Ecosystem Services (based on SEEA-EA),,
Level 1 (Used for dependency links),Level 2,Definition
,Peak flow mitigation services,"Peak flow mitigation services are the ecosystem contributions to the regulation of river flows and groundwater and lake water tables. They are derived from the ability of ecosystems to absorb and store water, and hence mitigate the effects of flood and other extreme water-related events. Peak flow mitigation services will be supplied together with river flood mitigation services in providing the benefit of flood protection. This is a final ecosystem service."
Flood mitigation services,Coastal protection services,"Coastal protection services are the ecosystem contributions of linear elements in the seascape, for instance coral reefs, sand banks, dunes or mangrove ecosystems along the shore, in protecting the shore and thus mitigating the impacts of tidal surges or storms on local communities. This is a final ecosystem service."
,River flood mitigation services,River flood mitigation services are the ecosystem contributions of riparian vegetation which provides structure and a physical barrier to high water levels and thus mitigates the impacts of floods on local communities. River flood mitigation services will be supplied together with peak flow mitigation services in providing the benefit of flood protection. This is a final ecosystem service.
Storm mitigation services,,"Storm mitigation services are the ecosystem contributions of vegetation including linear elements, in mitigating the impacts of wind, sand and other storms (other than water related events) on local communities. This is a final ecosystem service. "
Noise attenuation services   ,,Noise attenuation services are the ecosystem contributions to the reduction in the impact of noise on people that mitigates its harmful or stressful effects. This is most commonly a final ecosystem service. 
Pollination services ,,Pollination services are the ecosystem contributions by wild pollinators to the fertilization of crops that maintains or increases the abundance and/or diversity of other species that economic units use or enjoy. This may be recorded as a final or intermediate service. 
Biological control services,Pest control services,Pest control services are the ecosystem contributions to the reduction in the incidence of species that may prevent or reduce the effects of pests on biomass production processes or other economic and human activity. This may be recorded as a final or intermediate service. 
,Disease control services,Disease control services are the ecosystem contributions to the reduction in the incidence of species that may prevent or reduce the effects of species on human health. This is most commonly a final ecosystem service.
Nursery population and habitat maintenance services,,"Nursery population and habitat maintenance services are the ecosystem contributions necessary for sustaining populations of species that economic units ultimately use or enjoy either through the maintenance of habitats (e.g., for nurseries or migration) or the protection of natural gene pools. This service is an intermediate service and may input to a number of different final ecosystem services including biomass provision and recreation-related services."
Other regulating and maintenance service - Dilution by atmosphere and ecosystems*,,"Water, both fresh and saline, and the atmosphere can dilute the gases, fluids and solid waste produced by human activity."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise)*,,"Vegetation is the main (natural) barrier used to reduce light pollution and other sensory impacts, limiting the impact it can have on human health and the environment."
Cultural services,,
Recreation-related services,,"Recreation-related services are the ecosystem contributions, in particular through the biophysical characteristics and qualities of ecosystems, that enable people to use and enjoy the environment through direct, in-situ, physical and experiential interactions with the environment. This includes services to both locals and non-locals (i.e. visitors, including tourists). Recreation-related services may also be supplied to those undertaking recreational fishing and hunting. This is a final ecosystem service."
Visual amenity services,,"Visual amenity services are the ecosystem contributions to local living conditions, in particular through the biophysical characteristics and qualities of ecosystems that provide sensory benefits, especially visual. This service combines with other ecosystem services, including recreation-related services and noise attenuation services to underpin amenity values. This is a final ecosystem service."
"Education, scientific and research services",,"Education, scientific and research services are the ecosystem contributions, in particular through the biophysical characteristics and qualities of ecosystems, that enable people to use the environment through intellectual interactions with the environment. This is a final ecosystem service."
"Spiritual, artistic and symbolic services",,"Spiritual artistic and symbolic services are the ecosystem contributions, in particular through the biophysical characteristics and qualities of ecosystems, that are recognised by people for their cultural, historical, aesthetic, sacred or religious significance. These services may underpin people’s cultural identity and may inspire people to express themselves through various artistic media. This is a final ecosystem service."
,,
,,
,,
,,
,,
"Source: United Nations et al. (2021). System of Environmental-Economic Accounting— Ecosystem Accounting (SEEA EA). White cover publication, pre-edited text subject to official editing. Available at: https://seea.un.org/ecosystem-accounting",,
,,
Note: Ecosystem services marked with * are not separately defined in the SEEA EA. They were retained from the previous version of the ENCORE knowledge base for consistency. Their definitions are based on the Common International Classification of Ecosystem Services (CICES).,,
