,Economic activity ,,,,,Pressures,,,,,,,,,,,,,
C_25_251,Manufacturing,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of structural metal products, tanks, reservoirs and steam generators",,Group,"Manufacture of structural metal products, tanks, reservoirs and steam generators can cause disturbances like noise and light pollution due to the operation of machinery and the need for adequate lighting in production areas that can disrupt or negatively affect species populations.",N/A,"Manufacturing of structural metal products, tanks, reservoirs and steam generators can release greenhouse gases through energy use to achieve the high temperatures required for this economic activity. Where the factories are powered using on-site energy generators, these produce significant greenhouse gas emissions.",N/A,"The manufacture of structural metal products, tanks, reservoirs and steam generators involves stages that can release non-greenhouse gas (non-GHG) emissions into the environment including volatile organic compounds (VOCs), particulate matter (PM), and hazardous air pollutants (HAPs).",N/A,N/A,"Improper waste management practices during the manufacture of structural metal products, tanks, reservoirs and steam generators can cause soil pollution. Chemical discharge, improper waste disposal, and landfill practices can contaminate the soil and water with toxic substances and contribute to pollution.",N/A,"Manufacture of structural metal products, tanks, reservoirs and steam generators can result in the generation of solid waste including leftover chemicals, byproducts, packaging materials, and process residues.","The primary use of land in the manufacture of structural metal products, tanks, reservoirs and steam generators is for manufacturing plants. ","Manufacturing processes require large volumes of water for processing materials, cleaning, rinsing, cooling and testing equipment. Water abstraction can reduce local water supplies, which can increase the risk of drought and impact ecological habitats.",N/A,"https://doi.org/10.1016/j.jclepro.2006.06.018
https://doi.org/10.1016/S0921-3449(01)00122-7
https://doi.org/10.1016/j.jclepro.2015.09.139
https://doi.org/10.1016/j.aime.2023.100117
https://doi.org/10.1016/j.jclepro.2019.05.251"
C_33_332,Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,,Group,Installation of industrial machinery and equipment can cause disturbances like noise pollution due to the operation of machinery that can disrupt or negatively affect species populations.,N/A,"Installation of industrial machinery and equipment can release greenhouse gases emissions during the manufacture process, especially in the manufacturing of semicondutors, contributing air pollution. ","The installation process for industrial machinery and equipment onto the seabed can result in the release of sediments and increased turbidity in the water column, as well as changes to hydrological characteristics. ","Industrial machinery and equipment, such as combustion engines, boilers, and incinerators, can release airborne pollutants, such as particulate matter (PM), volatile organic compounds (VOCs), and hazardous air pollutants (HAPs). ",N/A,N/A,"Industrial machinery and equipment, such as combustion engines, boilers, and incinerators, can release airborne pollutants that settle onto the soil and water, leading to contamination. ",N/A,"Manufacturing processes create large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather. Solid waste treatment and disposal can lead to habitat degradation and land contamination.",Industrial machinery and equipment installations may require land clearance.  Industrial machinery installation can result in the destruction or fragmentation of natural habitats.,"Industrial machinery and equipment often require a significant amount of water for their operation. This can lead to increased water consumption, extraction of groundwater and withdrawal from freshwater sources for cooling or other purposes, which can strain local water supplies and potentially deplete water sources in the area. Excessive pumping of groundwater can lead to its depletion, causing lowered water tables, reduced streamflow, and potentially drying up nearby wells or springs, which can have significant consequences for local communities and ecosystems reliant on groundwater resources.","The installation of industrial machinery and equipment can lead to habitat disturbance, such as land clearing or alteration of water bodies. These disturbances can create new ecological niches or disrupt existing ecosystems, providing opportunities for invasive species to establish themselves.","https://www.ncbi.nlm.nih.gov/books/NBK525207/
https://www.st-andrews.ac.uk/staff/policy/healthandsafety/publications/waste/waste-disposaloflaboratorywastesguidance/
https://www.acs.org/content/dam/acsorg/about/governance/committees/chemicalsafety/publications/acs-secondary-safety-guidelines.pdf
https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1526-100X.2010.00687.x
https://pubmed.ncbi.nlm.nih.gov/35886604/
https://www.mdpi.com/2071-1050/13/11/5817
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8563966/"
C_18_182,Manufacturing,Printing and reproduction of recorded media,Reproduction of recorded media,,Group,Reproduction of recorded media can cause disturbances like noise pollution due to the operation of machinery and reproduction processes that can disrupt or negatively affect species in surrounding areas.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reproduction of recorded media may produce a marginal amount of waste.,ND,"Water is used in CD replication, as well as for cooling purposes. ",N/A,"https://www.sciencedirect.com/science/article/abs/pii/S0006320719307797
https://medium.com/@implantmediaaustralia/cd-replication-vs-cd-duplication-which-is-better-67d8ec0b5597
"
C_33_331,Manufacturing,Repair and installation of machinery and equipment,"Repair of fabricated metal products, machinery and equipment",,Group,"Repair of fabricated metal products, machinery and equipment can cause disturbances due to exposed to high levels of electromagnetic fields that can disrupt or negatively affect species in local areas.",N/A,"Repair of personal and household goods can release greenhouse gases emissions from breakdown of insulating oils in power transformers, energy used for the heating, cooling and lighting the facilities and equipment, contributing to air pollution.",Repair of electrical equipment could include underwater cables on the seabed requiring repair.,The gaseous waste and discharges from facilities as well as backup power generators used to operate equipment can emit non-greenhouse gases.,N/A,N/A,"Repair of fabricated metal products, machinery and equipment potentially pollute soil and water due to insulating oil leakage as power transformers age.",N/A,"Manufacturing processes create large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as oil and oil filters, and batteries. Solid waste treatment and disposal can lead to habitat degradation and land contamination.",Pylons and overhead cables occupy land which may lead to deforestation and habitat fragmentation.,"Repair processes can require volumes of water for cleaning, rinsing, cooling and testing equipment. Water abstraction can reduce local water supplies, which can increase the risk of drought and impact ecological habitats.",N/A,"1 https://ieeexplore.ieee.org/document/1161455
2 https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8890040
3 https://electrical-engineering-portal.com/transformer-maintenance-inspection-repair
4 https://incal.cummins.com/www/literature/technicalpapers/PT-7004-Maintenance-en.pdf
5 https://www.researchgate.net/profile/Animesh-Sahoo-3/publication/350791577_Switchgear_Condition_Assessment_and_Lifecycle_Management_Standards_Failure_Statistics_Condition_Assessment_Partial_Discharge_Analysis_Maintenance_Approaches_and_Future_Trends/links/611cfa811e95fe241adc42f5/Switchgear-Condition-Assessment-and-Lifecycle-Management-Standards-Failure-Statistics-Condition-Assessment-Partial-Discharge-Analysis-Maintenance-Approaches-and-Future-Trends.pdf
6 https://www.heatingandprocess.com/wp-content/uploads/2023/02/Battery-Power-Storage-Protecting-People-and-Plant-TD_compressed.pdf
7 https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8972612
8 https://meridian.allenpress.com/iosc/article/2021/1/688625/473073/Response-Guide-Understanding-Underwater-Electric
9 https://www.onesteppower.com/post/subsea-cable-repair
10 https://ec.europa.eu/health/scientific_committees/opinions_layman/en/electromagnetic-fields07/l-2/7-power-lines-elf.htm https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf"
C_24_241,Manufacturing,Manufacture of basic metals,Manufacture of basic iron and steel,,Group,"The manufacture of basic iron and steel can cause disturbances like noise pollution due to the operation of machinery that can disrupt or negatively affect species populations, and lead to displacement of species. There may also may be a risk of flying particles, sparks and optical radiation.",N/A,"Manufacturing of basic iron and steel can release greenhouse gases emissions (e.g. nitrous oxide, carbon dioxide) from highly energy intensive operations, which in some cases uses a large amount of coal coke and natural gas, contributing to air pollution.",N/A,"Iron/steel plants emit carbon monoxide, sulphur dioxide, and fugitive dust during equipment operation. Blast furnaces release most of the particulate matter (PM), while sinter plants produce gaseous pollutants and the majority of PCDD/Fs. Steelmaking processes generate heavy metal emissions (Pb, Cd, Hg, As, Cr, Ni, etc.) and highly toxic substances like coke and naphthalene.",N/A,N/A,"Soils in the vicinity of steel plants have been shown to exhibit high concentrations of heavy metals as well as persistent organic pollutants. The iron and steel industry discharges large quantities of wastewater with critical pollutants such as cadmium, copper and mercury releasing them into water courses.",N/A,"Manufacturing production processes lead to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs iron ore tailings, blast furnace slags, and steel slags. Solid waste treatment and disposal can lead to habitat degradation and land contamination.",The primary use of land in the manufacture of basic iron and steel is for manufacturing plants.,"Iron plants use large quantities of water for steam generation, cooling, waste transfer, and dust control. This water is often directly extracted from water sources such as rivers. The water used contributes to  water stress, especially in areas where water resources are already limited.",N/A,"http://ispatguru.com/water-used-in-steel-plant-and-its-types/
http://www.greenspec.co.uk/building-design/steel-products-and-environmental-impact/
http://blogs.ei.columbia.edu/2016/02/02/el-nino-and-global-warming-whats-the-connection/
https://www.tandfonline.com/doi/abs/10.1080/03719553.2016.1258170?journalCode=ympm20
https://report.ipcc.ch/ar6/wg2/IPCC_AR6_WGII_FullReport.pdf
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7049143/
https://www.sciencedirect.com/science/article/pii/S0959652615013797
https://www.worldcoal.org/coal/uses-coal/how-steel-produced
https://openknowledge.worldbank.org/handle/10986/17388
https://www.sciencedirect.com/science/article/pii/S0048969716305526
https://www.sciencedirect.com/science/article/pii/S2212371717300458
https://www.infona.pl/resource/bwmeta1.element.ID-4ec5e806-ce3c-4169-bc2f-ccd2fce73f41/content/partDownload/content/full-text/1a018cea-0984-4d63-a085-03196e1a3687
https://d1wqtxts1xzle7.cloudfront.net/45714345/Investigation_of_Soil_Concentrations_of_20160517-14471-10qd21s.pdf?1463500537=&response-content-disposition=inline%3B+filename%3DInvestigation_of_Soil_Concentrations_of.pdf&Expires=1621872575&Signature=ayrJyFSUlnlAJ1VJ1CfD79mYDfXG~6U0cA6j~IStBRsqgoQzOGOCLEg7ILvhoAKfLlqED40iPheIfouDrnllsjyeGQpormoLgyClTY7c8iTmxRrFD4nzTnfzon1Pb2ig9hNiqtPs981A32Au2p3boNtGvWqyfYb3fixwPTnR2r~hBFlF~mp4sJsXPbM-3GTvNl~OL3p6D9kjxLsMTP6qzM0-AEakX5Evu-Y3N80DVARBn12GqOv6VoM5fVON06V7A0fzKcsioEEXks~nQw230Wpekpb1ENaTqBAiiEjHJ0G1FN07ofIcPk-dMjBNWQ8IcMXEzrUsVtIBuH7pBQGLRg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA
https://www.sciencedirect.com/science/article/pii/S0147651315003048
https://www.sciencedirect.com/science/article/pii/S0959652614002923
https://joint-research-centre.ec.europa.eu/jrc-news/eu-climate-targets-how-decarbonise-steel-industry-2022-06-15_en
https://report.ipcc.ch/ar6/wg2/IPCC_AR6_WGII_FullReport.pdf"
C_32_321,Manufacturing,Other manufacturing,"Manufacture of jewellery, bijouterie and related articles",,Group,"Manufacture of jewellery, bijouterie and related articles can cause disturbances like noise pollution due to the operation of machinery that can disrupt or negatively affect species.",N/A,"Manufacturing of jewellery, bijouterie and related articles can release greenhouse gases emissions through electricity and liquefied petroleum gas consumption, being responsible for 30% of GHG emissions of the full lifecycle of its activities and contributing to air pollution.",N/A,"Manufacturing processes can release non-GHG emissions into the environment, including volatile organic compounds (VOCs), particulate matter (PM), and hazardous air pollutants (HAPs). Pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals.",N/A,N/A,"Pollution may occur from the manufacture of jewellery, bijouterie and related articles, as a result of using certain materials, substances and liquid emissions (i.e., acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals).",N/A,"Manufacturing processes create large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather. Solid waste treatment and disposal can lead to habitat degradation and land contamination.",Manufacturing facilities occupy land. ,"Manufacture of jewellery, bijouterie and related articles uses a significant amount of water for cleaning, polishing, and assembling the pieces. The water used contributes to  water stress, especially in areas where water resources are already limited.",N/A,"Jiljana and kgreen 2002. JEWELRY MANUFACTURING INDUSTRY Jewelry Manufacturing Pollution Prevention Recommendations State of California. Available at: https://www.dtsc.ca.gov/HazardousWaste/Jewelry/upload/HWM_FS_Jewelry_P2_Recommendations.pdf. [Accessed: 12/07/2018].
https://www.sciencedirect.com/science/article/pii/S0959652617313896#bib36"
P_85_851,Education,Education,Pre-primary and primary education,,Group,"Pre-primary and primary education can cause disturbances such as noise pollution from classrooms noise, which can disrupt or negatively affect species populations.",N/A,"Pre-primary and primary education activities using buildings can release greenhouse gases emissions from heating, lighting and ventilation of the school buildings, contributing to air pollution. If using school buses, these also contribute to the generation of GHG emissions. ",N/A,"Pre-primary and primary education conducted from buildings can produce significant non-GHG emissions as well as emissions associated with cooling, refrigeration, or insulation materials.",N/A,N/A,"If using buildings and facilities, education activities produce waste and discharges that without a proper disposal, can be emitted into the surrounding environment, leaching toxic substances into the soil and groundwater, affecting soil and water bodies. ",Science experiments in education programmes can result in contamination of soil and water with nutrient pollutants if waste is not disposed of properly.,"Educational activities generate waste, including paper waste, packaging materials and electronic waste. ","Educational activities that use buildings and facilities occupy land. Moreover, educational activities demand for supporting infrastructure, which can lead to additional land use change.","Educational activities, such as research projects, laboratories, and vocational training programs, involve water-intensive processes or experiments. These activities require large volumes of water for purposes such as sanitary facilities, drinking, irrigation, cooling systems, chemical reactions, or cleaning, thereby contributing to increased water consumption.",N/A,"1 https://journals.co.za/doi/abs/10.4102/sajce.v10i1.681
2 https://pdfs.semanticscholar.org/7389/14fbd45ff4cf0c327daeaa4831278efaaac6.pdf
3 https://iopscience.iop.org/article/10.1088/1755-1315/323/1/012159/meta
4 https://www.sciencedirect.com/science/article/pii/S0306261920305584
5 https://www.sciencedirect.com/science/article/pii/S1361920907000776
6 https://doi.org/10.1016/j.wasman.2014.03.020
7 https://doi.org/10.3390/ijerph17072558
8 https://www.mdpi.com/2071-1050/8/9/840
9 https://doi.org/10.1177/18369391198853
10 https://doi.org/10.1177/0973408218783287 https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-012220-034103
http://ijee.ieefoundation.org/vol2/issue3/IJEE_03_v2n3.pdf
https://northwestwaste.co.uk/hazardous-waste-in-schools/#:~:text=Used%20materials%20should%20be%20stored,the%20authorised%20waste%20management%20collectors.
https://www.businesswaste.co.uk/sectors/school-waste-management/
https://www.cambridgeshire.gov.uk/residents/waste-and-recycling/waste-education-service
https://www.sustainabilityexchange.ac.uk/files/education_sector_report.pdf"
C_30_301,Manufacturing,Manufacture of other transport equipment,Building of ships and boats,,Group,"Building of ships and boats can cause disturbances like noise and odour pollution due to the operation of machinery (e.g. during ship and boat building processes), which can disrupt or negatively affect species populations and lead to habitat fragmentation.",N/A,Building of ships and boats can release greenhouse gases emissions from production processes such as electric arc welding contributing to air pollution.,N/A,"Gases and particulates from ship and boat production processes such as welding, like magansese and chromium cause hazardous air pollutants. ",N/A,N/A,The building of ships and boats uses anti-fouling paints which contain toxic compounds and can lead to pollution of the environment. ,N/A,"Manufacturing processes create large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as steel, plastic, paper and cardboard, wood, and rubber and leather. Solid waste treatment and disposal can lead to habitat degradation and land contamination.",ND,"The building of ships and boats and their facilities use water throughout their operations, for example surface water is used to cool the machinery during production. Water abstraction can reduce local water supplies, which can increase the risk of drought and impact ecological habitats.",ND,"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/298763/geho0704bkfj-e-e.pdf
https://www.gov.uk/government/publications/nutrient-pollution-reducing-the-impact-on-protected-sites/nutrient-pollution-reducing-the-impact-on-protected-sites
https://www.nature.com/articles/nature04095
https://www.annualreviews.org/doi/full/10.1146/annurev.publhealth.21.1.271
https://www.nationalgeographic.com/environment/global-warming/sea-level-rise/
https://www.nature.com/articles/d41586-018-04322-x
https://openknowledge.worldbank.org/handle/10986/17388
https://ota.fas.org/reports/9225.pdf
National Academy of Sciences 1999. Industrial Environmental Performance Metrics. National Academies Press, Washington, D.C.
https://www.theguardian.com/environment/green-living-blog/2010/sep/23/carbon-footprint-new-car
https://www.attn.com/stories/13637/hidden-environmental-cost-manufacturing-vehicles
http://publications.lib.chalmers.se/records/fulltext/136380.pdf
https://www.nature.com/articles/nature04095
https://www.nissan-global.com/EN/DOCUMENT/PDF/ENVIRONMENT/SOCIAL/ecosystem_services_and_the_automotive_sector.pdf
Olivetti, E.A., Duan, H. and Kirchain, R.E. 2013. EXPLORATION OF CARBON FOOTPRINT OF ELECTRICAL PRODUCTS. Materials Systems Laboratory.
Forest Products Research Society., H. 2005. Eco-design and furniture: Environmental impacts of wood-based panels, surface and edge finishes. Forest products journal, Available at: http://agris.fao.org/agris-search/search.do?recordID=US201301043988.
https://eugenechrinian.wordpress.com/2017/02/22/this-is-how-the-furniture-industry-is-going-green/
UK Marine SACs Project n.d. Environmental impacts of port and harbour operations. Available at: http://www.ukmarinesac.org.uk/activities/ports/ph3_2.htm. [Accessed: 12/06/2018].
https://www.nap.edu/read/9458/chapter/8#123
https://www.apple.com/euro/environment/pdf/g/generic/Apple_Environmental_Responsibility_Report_2018.pdf
http://www.it-green.co.uk/uk_business_recycling/the-life-cycle-impact-of-electronic-equipment/#3
https://www.emeraldinsight.com/doi/abs/10.1108/03056120010311250
https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/298763/geho0704bkfj-e-e.pdf
http://csrreportbuilder.intel.com/PDFfiles/CSR-2015_Full-Report.pdf
https://www.nature.com/articles/d41586-018-04322-x
https://www.sciencedirect.com/science/article/pii/S0007850610000090
https://naturalenergyhub.com/pollution/industrial-pollutionits-causes-effects-controlling-methods/
https://www.eea.europa.eu/data-and-maps/indicators/industrial-pollution-in-europe/assessment
https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-020-00202-y#Sec26
https://www.climatewatchdata.org/key-visualizations?topic=sectoral_emissions&visualization=3
https://report.ipcc.ch/ar6/wg2/IPCC_AR6_WGII_FullReport.pdf
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7049143/"
C_30_303,Manufacturing,Manufacture of other transport equipment,Manufacture of air and spacecraft and related machinery,,Group,"Manufacture of air and spacecraft and related machinery can cause disturbances like noise, light and odour pollution due to the operation of machinery and the need for adequate lighting in production areas that can disrupt or negatively affect species populations.",N/A,"Manufacturing of air and spacecraft and related machinery can release greenhouse gases emissions during manufacturing and production processes such as burning coal and cooling, contributing to air pollution.",N/A,"Gases and particulates from manufacturing and production processes such as burning coal and cooling contribute to air pollution. Additionally, harmful chemicals may be emitted into the atmosphere such as sulphur and nitrogen oxides, which impact the environment through acid rain.",N/A,N/A,"Use of toxic materials in the manufacturing of air and space craft, such as acids, solvents, compressed gases, colourants, binders, and solders, can lead to pollution of natural habitats. This is due to wastewater that is generated from cooling and cleaning processes that interact with these materials and can lead to increased toxicity in soil and aquatic environments.",N/A,"Manufacturing processes for air and spacecraft leads to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, and electrical components. Solid waste treatment and disposal can lead to habitat degradation and land contamination.",Manufacturing facilities occupy land. ,"Manufacturing processes require large volumes of water for processing materials, cleaning, rinsing, cooling and testing equipment. Water abstraction can reduce local water supplies, which can increase the risk of drought and impact ecological habitats.",ND,"https://link.springer.com/content/pdf/10.1007/s43615-022-00157-x.pdf?pdf=button
https://www.gov.uk/government/publications/nutrient-pollution-reducing-the-impact-on-protected-sites/nutrient-pollution-reducing-the-impact-on-protected-sites
https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/298763/geho0704bkfj-e-e.pdf
https://www.nature.com/articles/nature04095
https://www.annualreviews.org/doi/full/10.1146/annurev.publhealth.21.1.271
https://www.nationalgeographic.com/environment/global-warming/sea-level-rise/
https://www.nature.com/articles/d41586-018-04322-x
https://openknowledge.worldbank.org/handle/10986/17388
https://ota.fas.org/reports/9225.pdf
National Academy of Sciences 1999. Industrial Environmental Performance Metrics. National Academies Press, Washington, D.C.
https://www.theguardian.com/environment/green-living-blog/2010/sep/23/carbon-footprint-new-car
https://www.attn.com/stories/13637/hidden-environmental-cost-manufacturing-vehicles
http://publications.lib.chalmers.se/records/fulltext/136380.pdf
https://www.nature.com/articles/nature04095
https://www.nissan-global.com/EN/DOCUMENT/PDF/ENVIRONMENT/SOCIAL/ecosystem_services_and_the_automotive_sector.pdf
Olivetti, E.A., Duan, H. and Kirchain, R.E. 2013. EXPLORATION OF CARBON FOOTPRINT OF ELECTRICAL PRODUCTS. Materials Systems Laboratory.
Forest Products Research Society., H. 2005. Eco-design and furniture: Environmental impacts of wood-based panels, surface and edge finishes. Forest products journal, Available at: http://agris.fao.org/agris-search/search.do?recordID=US201301043988.
https://eugenechrinian.wordpress.com/2017/02/22/this-is-how-the-furniture-industry-is-going-green/
UK Marine SACs Project n.d. Environmental impacts of port and harbour operations. Available at: http://www.ukmarinesac.org.uk/activities/ports/ph3_2.htm. [Accessed: 12/06/2018].
https://www.nap.edu/read/9458/chapter/8#123
https://www.apple.com/euro/environment/pdf/g/generic/Apple_Environmental_Responsibility_Report_2018.pdf
http://www.it-green.co.uk/uk_business_recycling/the-life-cycle-impact-of-electronic-equipment/#3
https://www.emeraldinsight.com/doi/abs/10.1108/03056120010311250
https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/298763/geho0704bkfj-e-e.pdf
http://csrreportbuilder.intel.com/PDFfiles/CSR-2015_Full-Report.pdf
https://www.nature.com/articles/d41586-018-04322-x
https://www.sciencedirect.com/science/article/pii/S0007850610000090
https://naturalenergyhub.com/pollution/industrial-pollutionits-causes-effects-controlling-methods/
https://www.eea.europa.eu/data-and-maps/indicators/industrial-pollution-in-europe/assessment
https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-020-00202-y#Sec26
https://www.climatewatchdata.org/key-visualizations?topic=sectoral_emissions&visualization=3
https://report.ipcc.ch/ar6/wg2/IPCC_AR6_WGII_FullReport.pdf
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7049143/
https://www.netregs.org.uk/business-sectors/metal-production-and-processing/#parentVerticalTab5"
C_28_281,Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,,Group,"Manufacture of general-purpose machinery can cause disturbances like noise and light pollution due to the operation of machinery and vehicles and the need for adequate lighting in production areas, which can disrupt or negatively affect species populations.",N/A,Manufacturing of general-purpose machinery can contribute to greenhouse gases emissions during the manufacturing processes and the assembly plant. Cooling and heating systems of facilities consuming energy produced by the burning of fossil fuels can also contribute to greenhouse emissions.,N/A,"Harmful chemicals may be emitted into the atmosphere such as sulphur and nitrogen oxides, which impact the environment through acid rain.",N/A,N/A,"Manufacture of general-purpose machinery can release hazardous waste such as acids, solvents, compressed gases, binders, solders, paints, oils and other chemicals, which can lead to soil and water pollution. ",N/A,"Manufacturing production processes lead to creation of large volumes of solid waste, including non-product outputs such as glass, metal, plastic, off-cuts, refractories, slags, sludges, fluxes, lubricating fluids and baghouse and electrostatic precipitator waste. Solid waste treatment and disposal can lead to habitat degradation and land contamination.",Manufacturing facilities occupy land. ,"Manufacturing processes require large volumes of water for processing materials, cleaning, rinsing, cooling and testing equipment. Water abstraction can reduce local water supplies, which can increase the risk of drought and impact ecological habitats.",N/A,"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/298763/geho0704bkfj-e-e.pdf
https://www.nature.com/articles/nature04095
https://www.annualreviews.org/doi/full/10.1146/annurev.publhealth.21.1.271
https://www.nationalgeographic.com/environment/global-warming/sea-level-rise/
https://www.nature.com/articles/d41586-018-04322-x
https://openknowledge.worldbank.org/handle/10986/17388
https://ota.fas.org/reports/9225.pdf
National Academy of Sciences 1999. Industrial Environmental Performance Metrics. National Academies Press, Washington, D.C.
https://www.theguardian.com/environment/green-living-blog/2010/sep/23/carbon-footprint-new-car
https://www.attn.com/stories/13637/hidden-environmental-cost-manufacturing-vehicles
http://publications.lib.chalmers.se/records/fulltext/136380.pdf
https://www.nature.com/articles/nature04095
https://www.nissan-global.com/EN/DOCUMENT/PDF/ENVIRONMENT/SOCIAL/ecosystem_services_and_the_automotive_sector.pdf
Olivetti, E.A., Duan, H. and Kirchain, R.E. 2013. EXPLORATION OF CARBON FOOTPRINT OF ELECTRICAL PRODUCTS. Materials Systems Laboratory.
Forest Products Research Society., H. 2005. Eco-design and furniture: Environmental impacts of wood-based panels, surface and edge finishes. Forest products journal, Available at: http://agris.fao.org/agris-search/search.do?recordID=US201301043988.
https://eugenechrinian.wordpress.com/2017/02/22/this-is-how-the-furniture-industry-is-going-green/
UK Marine SACs Project n.d. Environmental impacts of port and harbour operations. Available at: http://www.ukmarinesac.org.uk/activities/ports/ph3_2.htm. [Accessed: 12/06/2018].
https://www.nap.edu/read/9458/chapter/8#123
https://www.apple.com/euro/environment/pdf/g/generic/Apple_Environmental_Responsibility_Report_2018.pdf
http://www.it-green.co.uk/uk_business_recycling/the-life-cycle-impact-of-electronic-equipment/#3
https://www.emeraldinsight.com/doi/abs/10.1108/03056120010311250
https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/298763/geho0704bkfj-e-e.pdf
http://csrreportbuilder.intel.com/PDFfiles/CSR-2015_Full-Report.pdf
https://www.nature.com/articles/d41586-018-04322-x
https://www.sciencedirect.com/science/article/pii/S0007850610000090
https://naturalenergyhub.com/pollution/industrial-pollutionits-causes-effects-controlling-methods/
https://www.eea.europa.eu/data-and-maps/indicators/industrial-pollution-in-europe/assessment
https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-020-00202-y#Sec26
https://www.climatewatchdata.org/key-visualizations?topic=sectoral_emissions&visualization=3
https://report.ipcc.ch/ar6/wg2/IPCC_AR6_WGII_FullReport.pdf
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7049143/
https://www.netregs.org.uk/business-sectors/metal-production-and-processing/#parentVerticalTab5"
